FILM;ID ACTEUR;
tt0082449;nm0913738;
tt0082449;nm0000481;
tt0082449;nm0000001;
tt0077898;nm0121400;
tt0077898;nm0125956;
tt0076984;nm0001296;
tt0076984;nm0368745;
tt0076984;nm0070767;
tt0077536;nm0371040;
tt0077536;nm0956544;
tt0076851;nm0001648;
tt0076851;nm0634159;
tt0076851;nm0001811;
tt0075971;nm0385830;
tt0075971;nm0568657;
tt0074130;nm0002082;
tt0074130;nm0001174;
tt0072308;nm0000056;
tt0072308;nm0000537;
tt0072308;nm0000034;
tt0066327;nm0001682;
tt0066327;nm0943978;
tt0066194;nm0000974;
tt0066194;nm0118000;
tt0062572;nm0001822;
tt0062572;nm0861943;
tt0064664;nm0001077;
tt0064664;nm0382391;
tt0062974;nm0164379;
tt0062974;nm0824687;
tt0054535;nm0000328;
tt0054535;nm0557339;
tt0054535;nm0476014;
tt0056742;nm0001362;
tt0056742;nm0922967;
tt0056742;nm0446438;
tt0182576;nm0532235;
tt0182576;nm0097504;
tt0182576;nm0001293;
tt1368858;nm0000002;
tt1368858;nm1242688;
tt1368858;nm0000547;
tt1816518;nm0933727;
tt1816518;nm5312818;
tt1816518;nm0519735;
tt0858500;nm0004051;
tt0858500;nm0289038;
tt1295021;nm0919798;
tt1295021;nm0440487;
tt1295021;nm0217221;
tt1278345;nm0001262;
tt1278345;nm1880888;
tt0783608;nm0000437;
tt0783608;nm0000218;
tt0141842;nm0001254;
tt0141842;nm0000966;
tt0141842;nm0004908;
tt0439848;nm0524099;
tt0439848;nm1845933;
tt0439848;nm0571549;
tt0342735;nm0397171;
tt0342735;nm0207218;
tt0342735;nm0000418;
tt0491524;nm0000968;
tt0338201;nm0001231;
tt0338201;nm0001089;
tt0337876;nm0000173;
tt0337876;nm1080974;
tt0347149;nm0047962;
tt0347149;nm0454120;
tt0347149;nm0309107;
tt0276919;nm0079273;
tt0069899;nm0404091;
tt0069899;nm0217677;
tt0069899;nm0000003;
tt0069990;nm0396136;
tt0069990;nm0140649;
tt0067637;nm0001012;
tt0067637;nm0689488;
tt0066857;nm0893341;
tt0066857;nm0871272;
tt0066164;nm0320760;
tt0066164;nm0138405;
tt0064779;nm0144045;
tt0064779;nm0147561;
tt0064324;nm0740067;
tt0064324;nm0391712;
tt0063592;nm0000125;
tt0063592;nm0000963;
tt0063715;nm0000404;
tt0063715;nm0001128;
tt11609104;nm0105475;
tt0082801;nm0000004;
tt0082801;nm0000101;
tt0082801;nm0907923;
tt0082200;nm0001974;
tt0082200;nm0307255;
tt0080455;nm0130572;
tt0078723;nm0001852;
tt0072562;nm3594683;
tt0072562;nm0661094;
