ID;IDENTITE;DATE NAISSANCE;LIEU NAISSANCE;URL;
nm0410139;John Irvin;May 7 1940 ;Newcastle-upon-Tyne, England, UK ;/name/nm0410139/?ref_=tt_ov_dr;
nm0001904;Corey Allen;June 29 1934 ;Cleveland, Ohio, USA ;/name/nm0001904/?ref_=tt_ov_dr;
nm0723629;David Lowell Rich;August 31 1920 ;Rockaway Beach, Queens, New York City, New York, USA ;/name/nm0723629/?ref_=tt_ov_dr;
nm0092372;Yves Boisset;March 14 1939 ;Paris, France ;/name/nm0092372/?ref_=tt_ov_dr;
nm0060072;Jules Bass;September 16 1935 ;Philadelphia, Pennsylvania, USA ;/name/nm0060072/?ref_=tt_ov_dr;
nm0710230;Arthur Rankin Jr.;July 19 1924 ;New York City, New York, USA ;/name/nm0710230/?ref_=tt_ov_dr;
nm0161002;Byron Chudnow;February 1 1926 ;;/name/nm0161002/?ref_=tt_ov_dr;
nm0347086;John Guillermin;November 11 1925 ;London, England, UK ;/name/nm0347086/?ref_=tt_ov_dr;
nm0566671;George McCowan;June 27 1927 ;Paris, Ontario, Canada ;/name/nm0566671/?ref_=tt_ov_dr;
nm0458033;Alf Kjellin;February 28 1920 ;Lund, Skåne län, Sweden ;/name/nm0458033/?ref_=tt_ov_dr;
nm0000338;Francis Ford Coppola;April 7 1939 ;Detroit, Michigan, USA ;/name/nm0000338/?ref_=tt_ov_dr;
nm2940732;Lawrence Roeck;;;/name/nm2940732/?ref_=tt_ov_dr;
nm0041334;Stéphane Aubier;October 8 1964 ;Verviers, Belgium ;/name/nm0041334/?ref_=tt_ov_dr;
nm0665262;Vincent Patar;September 2 1965 ;;/name/nm0665262/?ref_=tt_ov_dr;
nm2883649;Benjamin Renner;;;/name/nm2883649/?ref_=tt_ov_dr;
nm0950000;Robert Young;March 16 1933 ;Cheltenham, Gloucestershire, England, UK ;/name/nm0950000/?ref_=tt_ov_dr;
nm1245812;Joe Sichta;;;/name/nm1245812/?ref_=tt_ov_dr;
nm0000204;Natalie Portman;June 9 1981 ;Jerusalem, Israel ;/name/nm0000204/?ref_=tt_ov_dr;
nm0001707;Paul Schrader;July 22 1946 ;Grand Rapids, Michigan, USA ;/name/nm0001707/?ref_=tt_ov_dr;
nm1507217;Julia Taylor-Stanley;;;/name/nm1507217/?ref_=tt_ov_dr;
nm0001885;Lars von Trier;April 30 1956 ;Copenhagen, Denmark ;/name/nm0001885/?ref_=tt_ov_dr;
nm0895560;Francesco Vezzoli;;;/name/nm0895560/?ref_=tt_ov_dr;
nm0916189;Lewin Webb;September 27 ;Madrid, Spain ;/name/nm0916189/?ref_=tt_ov_dr;
nm0322242;Jonathan Glazer;March 26 1965 ;London, England, UK ;/name/nm0322242/?ref_=tt_ov_dr;
nm0594503;Hayao Miyazaki;January 5 1941 ;Tokyo, Japan ;/name/nm0594503/?ref_=tt_ov_dr;
nm0173953;Nina Companeez;August 26 1937 ;Boulogne-Billancourt, Hauts-de-Seine, France ;/name/nm0173953/?ref_=tt_ov_dr;
nm0671862;Roger Vadim;January 26 1928 ;Paris, France ;/name/nm0671862/?ref_=tt_ov_dr;
nm0160108;Christian-Jaque;September 4 1904 ;Paris, France ;/name/nm0160108/?ref_=tt_ov_dr;
nm0143007;Guy Casaril;November 1 1933 ;Miramont-de-Guyenne, Lot-et-Garonne, France ;/name/nm0143007/?ref_=tt_ov_dr;
nm0257992;Robert Enrico;April 13 1931 ;Liévin, Pas-de-Calais, France ;/name/nm0257992/?ref_=tt_ov_dr;
nm0001031;Claude Chabrol;June 24 1930 ;Paris, France ;/name/nm0001031/?ref_=tt_ov_dr;
nm0222545;Michel Deville;April 13 1931 ;Boulogne-Billancourt, Hauts-de-Seine, France ;/name/nm0222545/?ref_=tt_ov_dr;
nm0042159;Jean Aurel;November 6 1925 ;Rastolita, Mures, Romania ;/name/nm0042159/?ref_=tt_ov_dr;
nm0229424;Edward Dmytryk;September 4 1908 ;Grand Forks, British Columbia, Canada ;/name/nm0229424/?ref_=tt_ov_dr;
nm0000019;Federico Fellini;January 20 1920 ;Rimini, Emilia-Romagna, Italy ;/name/nm0000019/?ref_=tt_ov_dr;
nm0001501;Louis Malle;October 30 1932 ;Thumeries, Nord, France ;/name/nm0001501/?ref_=tt_ov_dr;
nm0717025;François Reichenbach;July 3 1921 ;Paris, France ;/name/nm0717025/?ref_=tt_ov_dr;
nm0558062;Eddy Matalon;September 11 1934 ;Marseille, Bouches-du-Rhône, France ;/name/nm0558062/?ref_=tt_ov_dr;
nm0000003;Brigitte Bardot;September 28 1934 ;Paris, France ;/name/nm0000003/?ref_=tt_ov_st;
nm0000814;John G. Avildsen;December 21 1935 ;Oak Park, Illinois, USA ;/name/nm0000814/?ref_=tt_ov_dr;
nm0000776;Michael Apted;February 10 1941 ;Aylesbury, Buckinghamshire, England, UK ;/name/nm0000776/?ref_=tt_ov_dr;
nm0000484;John Landis;August 3 1950 ;Chicago, Illinois, USA ;/name/nm0000484/?ref_=tt_ov_dr;
nm0000229;Steven Spielberg;December 18 1946 ;Cincinnati, Ohio, USA ;/name/nm0000229/?ref_=tt_ov_dr;
nm0570219;Joan Tewkesbury;April 8 1936 ;Redlands, California, USA ;/name/nm0570219/?ref_=tt_ov_dr;
nm0918660;Gary Weis;;;/name/nm0918660/?ref_=tt_ov_dr;
nm0000197;Jack Nicholson;April 22 1937 ;Neptune, New Jersey, USA ;/name/nm0000197/?ref_=tt_ov_dr;
nm0001385;Eric Idle;March 29 1943 ;South Shields, Tyne and Wear, England, UK ;/name/nm0001385/?ref_=tt_ov_dr;
nm0681617;Picha;July 2 1942 ;Brussels, Belgium ;/name/nm0681617/?ref_=tt_ov_dr;
nm0844326;Boris Szulzinger;September 20 1945 ;Ixelles, Belgium ;/name/nm0844326/?ref_=tt_ov_dr;
nm0376676;Tony Hendra;July 10 1941 ;Willesden, Middlesex, England, UK ;/name/nm0376676/?ref_=tt_ov_dr;
nm1116357;Michael Keady;;;/name/nm1116357/?ref_=tt_ov_dr;
nm0446859;Sean Kelly;July 22 1940 ;Cushing, Quebec, Canada ;/name/nm0446859/?ref_=tt_ov_dr;
nm1972555;Marie Nyreröd;July 19 1955 ;Arvika, Värmlands län, Sweden ;/name/nm1972555/?ref_=tt_ov_dr;
nm0000005;Ingmar Bergman;July 14 1918 ;Uppsala, Uppsala län, Sweden ;/name/nm0000005/?ref_=tt_ov_dr;
nm0803549;Alf Sjöberg;June 21 1903 ;Stockholm, Stockholms län, Sweden ;/name/nm0803549/?ref_=tt_ov_dr;
nm0316830;Alan Gibson;April 28 1938 ;London, Ontario, Canada ;/name/nm0316830/?ref_=tt_ov_dr;
nm0591486;Vincente Minnelli;February 28 1903 ;Chicago, Illinois, USA ;/name/nm0591486/?ref_=tt_ov_dr;
nm0001486;Sidney Lumet;June 25 1924 ;Philadelphia, Pennsylvania, USA ;/name/nm0001486/?ref_=tt_ov_dr;
nm0177034;Fielder Cook;March 9 1923 ;Atlanta, Georgia, USA ;/name/nm0177034/?ref_=tt_ov_dr;
nm0337885;Guy Green;November 5 1913 ;Frome, Somerset, England, UK ;/name/nm0337885/?ref_=tt_ov_dr;
nm0757256;Gene Saks;November 8 1921 ;New York City, New York, USA ;/name/nm0757256/?ref_=tt_ov_dr;
nm0467646;Ted Kotcheff;April 7 1931 ;Toronto, Ontario, Canada ;/name/nm0467646/?ref_=tt_ov_dr;
nm0002190;Anthony Asquith;November 9 1902 ;London, England, UK ;/name/nm0002190/?ref_=tt_ov_dr;
nm0926919;Bernhard Wicki;October 28 1919 ;St. Pölten, Lower Austria, Austria ;/name/nm0926919/?ref_=tt_ov_dr;
nm0781751;Alex Segal;July 1 1915 ;New York City, New York, USA ;/name/nm0781751/?ref_=tt_ov_dr;
nm0156668;Pierre Chevalier;March 23 1915 ;Orbec, Calvados, France ;/name/nm0156668/?ref_=tt_ov_dr;
nm0514822;Anatole Litvak;May 10 1902 ;Kiev, Russian Empire [now Ukraine] ;/name/nm0514822/?ref_=tt_ov_dr;
nm0733476;Mark Robson;December 4 1913 ;Montréal, Québec, Canada ;/name/nm0733476/?ref_=tt_ov_dr;
nm0943758;William Wyler;July 1 1902 ;Mülhausen, Alsace, Germany [now Mulhouse, Haut-Rhin, France] ;/name/nm0943758/?ref_=tt_ov_dr;
nm0002031;Michael Curtiz;December 24 1886 ;Budapest, Austria-Hungary [now Hungary] ;/name/nm0002031/?ref_=tt_ov_dr;
nm0000581;Joseph L. Mankiewicz;February 11 1909 ;Wilkes-Barre, Pennsylvania, USA ;/name/nm0000581/?ref_=tt_ov_dr;
nm0000697;Billy Wilder;June 22 1906 ;Sucha, Galicia, Austria-Hungary [now Sucha Beskidzka, Malopolskie, Poland] ;/name/nm0000697/?ref_=tt_ov_dr;
nm0001379;John Huston;August 5 1906 ;Nevada, Missouri, USA ;/name/nm0001379/?ref_=tt_ov_dr;
nm0112218;Richard Brooks;May 18 1912 ;Philadelphia, Pennsylvania, USA ;/name/nm0112218/?ref_=tt_ov_dr;
nm0076779;Curtis Bernhardt;April 15 1899 ;Worms, Grand Duchy of Hesse [now Rhineland-Palatinate], Germany ;/name/nm0076779/?ref_=tt_ov_dr;
nm0934827;Bretaigne Windust;January 20 1906 ;Paris, France ;/name/nm0934827/?ref_=tt_ov_dr;
nm0909825;Raoul Walsh;March 11 1887 ;New York City, New York, USA ;/name/nm0909825/?ref_=tt_ov_dr;
nm0070534;Bob Bendetson;;;/name/nm0070534/?ref_=tt_ov_dr;
nm0793804;Peter Shin;;;/name/nm0793804/?ref_=tt_ov_dr;
nm0748142;Peter Mitchell Rubin;;;/name/nm0748142/?ref_=tt_ov_dr;
nm0402995;Paul Hunter;;;/name/nm0402995/?ref_=tt_ov_dr;
nm0000568;Frank Oz;May 25 1944 ;Hereford, England, UK ;/name/nm0000568/?ref_=tt_ov_dr;
nm0800533;Yves Simoneau;October 28 1955 ;Quebec City, Quebec, Canada ;/name/nm0800533/?ref_=tt_ov_dr;
nm0000136;Johnny Depp;June 9 1963 ;Owensboro, Kentucky, USA ;/name/nm0000136/?ref_=tt_ov_dr;
nm0001239;John Frankenheimer;February 19 1930 ;Queens, New York City, New York, USA ;/name/nm0001239/?ref_=tt_ov_dr;
nm0822582;Richard Stanley;November 22 1966 ;Fishhook, South Africa ;/name/nm0822582/?ref_=tt_ov_dr;
nm0248054;Thom Eberhardt;March 7 1947 ;Los Angeles, California, USA ;/name/nm0248054/?ref_=tt_ov_dr;
nm0505230;Jeremy Leven;August 16 1941 ;South Bend, Indiana, USA ;/name/nm0505230/?ref_=tt_ov_dr;
nm0322515;John Glen;May 15 1932 ;Sunbury-on-Thames, England, UK ;/name/nm0322515/?ref_=tt_ov_dr;
nm0000921;Andrew Bergman;February 20 1945 ;Queens, New York City, New York, USA ;/name/nm0000921/?ref_=tt_ov_dr;
nm0657484;Euzhan Palcy;January 13 ;Saint-Joseph, Martinique, France ;/name/nm0657484/?ref_=tt_ov_dr;
nm0001149;Richard Donner;April 24 1930 ;The Bronx, New York City, New York, USA ;/name/nm0001149/?ref_=tt_ov_dr;
nm0504513;Richard Lester;January 19 1932 ;Philadelphia, Pennsylvania, USA ;/name/nm0504513/?ref_=tt_ov_dr;
nm0705535;Michael Radford;February 24 1946 ;New Delhi, British India [now India] ;/name/nm0705535/?ref_=tt_ov_dr;
nm0258405;Sheldon Epps;November 15 1952 ;Los Angeles, California, USA ;/name/nm0258405/?ref_=tt_ov_wr;
nm0233071;Tom Donovan;August 1 1922 ;Boston, Massachusetts, USA ;/name/nm0233071/?ref_=tt_ov_dr;
