FILM;ID ACTEUR;PERSONNAGE;
tt0082449;nm0913738;Don;
tt0082449;nm0000481;Alma;
tt0082449;nm0000001;Ricky Hawthorne;
tt0082449;nm0002144;Sears James;
tt0082449;nm0002048;John Jaffrey;
tt0082449;nm0001195;Edward Wanderley;
tt0082449;nm0623658;Stella;
tt0082449;nm0111795;Milly;
tt0082449;nm0272883;Gregory Bate;
tt0082449;nm0390091;Fenny Bate;
tt0082449;nm0150257;Young John Jaffrey;
tt0082449;nm0158678;Young Ricky Hawthorne;
tt0082449;nm0425582;Young Edward Wanderley;
tt0082449;nm0646440;Young Sears James;
tt0082449;nm0837976;Sheriff Hardesty;
tt0082449;nm0642259;Churchill;
tt0082449;nm0101777;Omar Norris;
tt0082449;nm0123022;Principal;
tt0077898;nm0000001;Costume Shop Proprietor;
tt0077898;nm0121400;Bob Willis;
tt0077898;nm0125956;Stan Summerville;
tt0077898;nm0176622;Gil Travis;
tt0077898;nm0118723;Polly Primer;
tt0077898;nm0120401;Linda Travis;
tt0077898;nm0058532;Babyskin;
tt0077898;nm0270681;Bruno Betinger;
tt0077898;nm0264660;Dora Dayton;
tt0077898;nm0332390;Dickie Dayton;
tt0077898;nm0900132;Eddie;
tt0077898;nm0529362;Melissa;
tt0077898;nm0676925;Lance;
tt0077898;nm0920164;Chandler;
tt0077898;nm0408251;Dom;
tt0077898;nm0332967;Terry Travis;
tt0077898;nm0338427;Rod Sanborn;
tt0077898;nm0000854;Miss Forsythe;
tt0076984;nm0001296;Adama;
tt0076984;nm0368745;Captain Apollo;
tt0076984;nm0070767;Lieutenant Starbuck;
tt0076984;nm0420170;Lieutenant Boomer;
tt0076984;nm0171475;Count Baltar;
tt0076984;nm0421596;Lieutenant Athena;
tt0076984;nm0000441;Boxey;
tt0076984;nm0816783;Cassiopeia;
tt0076984;nm0841985;Flight Sergeant Jolly;
tt0076984;nm0141956;Colonel Tigh;
tt0076984;nm0338427;Omega;
tt0076984;nm0516860;Lieutenant Sheba;
tt0076984;nm0750706;Rigel;
tt0076984;nm0227647;Dr. Wilker;
tt0076984;nm0613787;Dr. Salik;
tt0076984;nm0000893;Flight Sergeant Greenbean;
tt0076984;nm0942257;1st Lt. Guard;
tt0076984;nm0542027;Giles;
tt0077536;nm0371040;Emma Long;
tt0077536;nm0000001;Ted Long;
tt0077536;nm0956544;Mike Long;
tt0077536;nm0189774;Carol Long;
tt0077536;nm0001157;Wendy;
tt0077536;nm0422460;Scott Long;
tt0077536;nm0707077;Mr. Case;
tt0077536;nm0358001;Paula;
tt0077536;nm0020912;Dr. Russo;
tt0077536;nm0125998;Al;
tt0077536;nm0766869;Mrs. Lovell;
tt0077536;nm0658128;Rhonda;
tt0077536;nm0846987;Mrs. Taka;
tt0077536;nm0368127;House Painter;
tt0077536;nm0809636;Wes Allen;
tt0077536;nm0907605;Aide;
tt0077536;nm0841795;Instructor;
tt0077536;nm0485057;Candy Striper;
tt0076851;nm0001648;Sharon Frederick;
tt0076851;nm0634159;Philippe Marchal;
tt0076851;nm0001811;Taubelman;
tt0076851;nm0068941;Anne Taubelman;
tt0076851;nm0001902;Jerry Keen;
